ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,notice_number,hearing_disposition,officer,year,month,hour
7000004200,2003-11-01 01:04:00,5500 S WESTERN AVE S,baacc1b1e28a0a42d741c065f4009e82b7931828fd21b1c093726fa57412a165,IL,PAS,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-01 00:00:00,VIOL,5046678160,"",RDFX,2003,11,1
7000004142,2003-11-01 01:35:00,2400 W 55TH STREET E,3b5f9acfdc2f2908b75f42ea2c9d0c78e0f8606b0799d1911697e0deb1665305,IL,TMP,60632,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,-10,190,Paid,2008-05-15 00:00:00,FINL,5046550880,"",RDFX,2003,11,1
7000004143,2003-11-01 02:41:00,2400 W 55TH STREET E,73dec2b6854e1a2de971df1f92c4e641b01528f99130e8381d5d6cc60faae9eb,IL,PAS,62901,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2010-02-19 00:00:00,SEIZ,5108042770,"",RDFX,2003,11,2
7000004144,2003-11-01 05:04:00,2400 W 55TH STREET E,cbd8e5eaac65d747d833d92c439576c1a1123ec4525cd1b467fe7c94447dbed2,IL,PAS,60638,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-15 00:00:00,DETR,5046447510,"",RDFX,2003,11,5
7000004145,2003-11-01 06:40:00,2400 W 55TH STREET E,9618dfdbe0719d6794fe492d7b7c3f830e6df0a1b9847fa5dd5eae1d53c15e3a,IL,PAS,60632,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-16 00:00:00,DETR,5046550890,"",RDFX,2003,11,6
7000004146,2003-11-01 07:08:00,2400 W 55TH STREET E,3be9c8db2347f16a9912cc2c94cba3f8d3439122fbe5c25a800292e41bdad7cd,IL,PAS,60609,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-11-21 00:00:00,VIOL,5046550900,"",RDFX,2003,11,7
7000004449,2003-11-01 07:13:00,2400 W 55TH STREET E,114293c638b8219dc89d4b4267204402742d51e2895afcc35f1556e3611545f6,IL,PAS,60453,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,219.6,Paid,2014-12-12 00:00:00,FINL,5046731260,"",RDFX,2003,11,7
7000004147,2003-11-01 07:23:00,2400 W 55TH STREET E,e4c6591c1c2046a330224c7e8f61b3f99ef3a57852e8cc03cc6dafda1e54c035,IL,PAS,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,180,Paid,2005-04-30 00:00:00,FINL,5046641350,"",RDFX,2003,11,7
7000004450,2003-11-01 08:07:00,5500 S WESTERN AVE S,981d160e9698410fc6ec045cf5715917cbe83166cea4af52119e35436d6338aa,IL,PAS,60181,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-08 00:00:00,VIOL,5046731270,"",RDFX,2003,11,8
7000004451,2003-11-01 10:04:00,2400 W 55TH STREET E,e9951df72582f747a898854f68b382835e1d264f512a1c36bc59d1ae6ba214a5,IL,PAS,60424,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,180,0,Notice,2015-09-04 00:00:00,SEIZ,5046731280,"",RDFX,2003,11,10
7000004452,2003-11-01 10:08:00,2400 W 55TH STREET E,7cb45dbb9dbfef748539c0a64e9b8732321a9be00f74cb52a81762b836df6d44,IL,PAS,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-10 00:00:00,VIOL,5046827190,"",RDFX,2003,11,10
7000004453,2003-11-01 10:20:00,5500 S WESTERN AVE S,8b96b06808fe98eb265af77d745c654cdadf0febd395fb55cd165debd78ad328,IL,PAS,60623,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-18 00:00:00,DETR,5046731290,"",RDFX,2003,11,10
7000004454,2003-11-01 10:29:00,5500 S WESTERN AVE S,6c9cd8c7855ec925cbaaa944faf12ffa5e4a4961dc269d62e69239452a26c434,IL,PAS,60609,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-15 00:00:00,DETR,5046827200,"",RDFX,2003,11,10
7000004455,2003-11-01 10:52:00,5500 S WESTERN AVE S,7a3bd06fc3619db38035bd00abd5e9e2d3e94a6e9355468323147a37363fbbff,IL,PAS,60617,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,135,Paid,2009-02-14 00:00:00,FINL,5046731300,"",RDFX,2003,11,10
7000004456,2003-11-01 11:23:00,2400 W 55TH STREET E,7cbdf4f93f8cd7dd66e69e75fa178810ce11265157123fe87b7721bea98e851e,IL,PAS,30067,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2004-03-02 00:00:00,FINL,5047871590,"",RDFX,2003,11,11
7000004148,2003-11-01 11:34:00,5500 S WESTERN AVE S,500f5e157a52339d8cfcd82e6015f92ae5a0dd138fa0d1b2a59c928dca3f9c93,IL,PAS,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-09 00:00:00,DETR,5046641360,"",RDFX,2003,11,11
7000004457,2003-11-01 11:45:00,2400 W 55TH STREET E,ea27ea90d254b1a9ec3de35c2b2f6d9ce3b00f8ed404ce661693c539f9dd3ba6,IL,PAS,60629,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,90,Paid,2003-12-03 00:00:00,VIOL,5023232380,"",RDFX,2003,11,11
7000004458,2003-11-01 12:07:00,5500 S WESTERN AVE S,d7475f097675c6d38d8a27b9fec5b1e0705ca135be503c678d721224e4c3936d,IL,PAS,60638,9102020,RED LIGHT VIOLATION,RDFX,Red Light,OTHR,90,180,0,100,Paid,2015-11-15 00:00:00,SEIZ,5046731310,"",RDFX,2003,11,24
