,Unnamed: 0,Unnamed: 0.1,UNIQUEKEY,APPLICATIONTYPE,APPLICATIONTYPE.1,APPLICATIONSTARTDATE,WORKTYPE,WORKTYPEDESCRIPTION,APPLICATIONFINALIZEDDATE,PARKINGMETERPOSTINGORBAGGING,XCOORDINATE,YCOORDINATE,LATITUDE,LONGITUDE,LOCATION,STREETCLOSURE,STREETNUMBERFROM,STREETNUMBERTO,DIRECTION,STREETNAME
31,122,122,61421122846,DOT_SE,DOT_SE,12/12/2015,Festival,Festival,12/10/2015,,1169129.0,1922756.0,41.943560943,-87.65376364299999,"(41.94356094269125, -87.65376364321489)",Curblane,3400.0,3800.0,N,CLARK
44,184,184,46088720130,DOT_SE,DOT_SE,08/22/2015,BlockParty,Block Party,08/23/2015,,1201147.0,1835241.0,41.702658264,-87.539059507,"(41.702658264456836, -87.53905950692182)",Full,10600.0,10699.0,S,AVENUE N
72,280,280,45664715630,DOT_SE,DOT_SE,08/15/2015,BlockParty,Block Party,08/16/2015,,1169991.0,1840652.0,41.718239695,-87.652984664,"(41.71823969460366, -87.6529846637018)",Full,1200.0,1299.0,W,97TH
74,291,291,46008219242,DOT_SE,DOT_SE,08/08/2015,BlockParty,Block Party,08/09/2015,,,,,,,Full,3700.0,3799.0,N,SANGAMON
101,397,397,45763016632,DOT_SE,DOT_SE,08/01/2015,BlockParty,Block Party,08/02/2015,,1166293.0,1936015.0,41.980005,-87.66380698399998,"(41.98000499957962, -87.66380698376524)",Full,5400.0,5499.0,N,WAYNE
103,404,404,45927418377,DOT_SE,DOT_SE,08/04/2015,BlockParty,Block Party,08/05/2015,,1148785.0,1861118.0,41.774836508,-87.73013133399998,"(41.774836508243546, -87.73013133420147)",Full,6500.0,6599.0,S,KILDARE
158,631,631,45988519016,DOT_SE,DOT_SE,08/08/2015,BlockParty,Block Party,08/09/2015,,1181477.0,1856046.0,41.760227508,-87.61044420299999,"(41.76022750827551, -87.61044420267997)",Full,7400.0,7499.0,S,ST LAWRENCE
188,736,736,45979418924,DOT_SE,DOT_SE,09/12/2015,BlockParty,Block Party,09/13/2015,,1128133.0,1921148.0,41.939939341,-87.80448454,"(41.93993934122302, -87.80448454032596)",Full,3300.0,3399.0,N,NOTTINGHAM
198,784,784,45699215974,DOT_SE,DOT_SE,07/11/2015,BlockParty,Block Party,07/12/2015,,1138615.0,1934600.0,41.976670895,-87.765633582,"(41.97667089530593, -87.7656335820022)",Full,5200.0,5299.0,N,LUDLAM
409,1590,1590,45874417805,DOT_SE,DOT_SE,09/13/2015,BlockParty,Block Party,09/14/2015,,1136671.0,1943932.0,42.002313742,-87.77255754299999,"(42.002313742182174, -87.77255754277456)",Full,6700.0,6799.0,N,LOLETA
431,1676,1676,45967118799,DOT_SE,DOT_SE,07/11/2015,BlockParty,Block Party,07/12/2015,,1160666.0,1924562.0,41.948694515,-87.68482104700001,"(41.94869451535878, -87.68482104729902)",Full,3700.0,3757.0,N,BELL
437,1700,1700,46223121598,DOT_SE,DOT_SE,10/03/2015,BlockParty,Block Party,10/05/2015,,1143660.0,1914222.0,41.920658184000004,-87.747589996,"(41.92065818432897, -87.74758999589132)",Full,2200.0,2259.0,N,LA CROSSE
446,1741,1741,46022819406,DOT_SE,DOT_SE,07/26/2015,BlockParty,Block Party,07/27/2015,,1170044.0,1873352.0,41.807971013,-87.651844314,"(41.807971012741525, -87.65184431418962)",Full,1036.0,1099.0,W,47TH
491,1935,1935,45811917133,DOT_SE,DOT_SE,08/08/2015,BlockParty,Block Party,08/09/2015,,1182489.0,1846160.0,41.733075586999995,-87.60704117899998,"(41.73307558708288, -87.60704117916794)",Full,700.0,799.0,E,89TH
526,2072,2072,45860617666,DOT_SE,DOT_SE,06/20/2015,BlockParty,Block Party,06/21/2015,,1147506.0,1905665.0,41.897104022,-87.73367885200001,"(41.89710402152812, -87.73367885167518)",Full,900.0,999.0,N,KILDARE
542,2149,2149,618759245832,DOT_PWO,DOT_PWO,12/29/2015,GenOpening,Opening in the Public Way,,,1160397.0,1874994.0,41.812682097,-87.687179339,"(41.81268209741857, -87.6871793387973)",Curblane,4438.0,4438.0,S,CAMPBELL
543,2150,2150,45978918919,DOT_SE,DOT_SE,08/01/2015,BlockParty,Block Party,08/02/2015,,1146882.0,1940245.0,41.992006855,-87.735083927,"(41.99200685471498, -87.73508392680354)",Full,6100.0,6199.0,N,TRIPP
569,2268,2268,46222921596,DOT_SE,DOT_SE,09/19/2015,BlockParty,Block Party,09/20/2015,,1136786.0,1906758.0,41.90030162,-87.77302914200001,"(41.90030162017267, -87.77302914151086)",Full,1100.0,1159.0,N,MAYFIELD
615,2447,2447,45868317742,DOT_SE,DOT_SE,06/13/2015,BlockParty,Block Party,06/14/2015,,1166010.0,1890853.0,41.856081928,-87.66614042399998,"(41.85608192808982, -87.66614042363922)",Full,1600.0,1699.0,W,19TH
679,2731,2731,46096720211,DOT_SE,DOT_SE,08/29/2015,BlockParty,Block Party,08/30/2015,,1166660.0,1934695.0,41.976374527,-87.662495763,"(41.976374526954125, -87.66249576342143)",Full,5200.0,5299.0,N,LAKEWOOD
721,2860,2860,45972618854,DOT_SE,DOT_SE,08/01/2015,BlockParty,Block Party,08/02/2015,,1128723.0,1941005.0,41.994419375999996,-87.80186263,"(41.99441937621259, -87.80186263031194)",Full,6207.0,6299.0,N,SAYRE
748,2959,2959,45897018063,DOT_SE,DOT_SE,07/04/2015,BlockParty,Block Party,07/05/2015,,1142536.0,1869626.0,41.79830237,-87.752828489,"(41.798302370294635, -87.7528284886464)",Full,5200.0,5259.0,S,LARAMIE
759,3006,3006,619305246169,DOT_PWO,DOT_PWO,12/25/2015,GenOpening,Opening in the Public Way,,,1145014.0,1910265.0,41.909774021,-87.74271788600002,"(41.90977402140208, -87.74271788645795)",Curblane,4632.0,4632.0,W,NORTH
771,3046,3046,45630715289,DOT_SE,DOT_SE,07/25/2015,BlockParty,Block Party,07/26/2015,,1152033.0,1853168.0,41.752958061,-87.718433731,"(41.75295806126064, -87.71843373098004)",Full,3800.0,3899.0,W,77TH
783,3104,3104,45809217105,DOT_SE,DOT_SE,08/22/2015,BlockParty,Block Party,08/23/2015,,1173748.0,1848440.0,41.739529238,-87.638995185,"(41.73952923794297, -87.63899518528119)",Full,8500.0,8599.0,S,WALLACE
795,3153,3153,45888117968,DOT_SE,DOT_SE,08/08/2015,BlockParty,Block Party,08/09/2015,,1153887.0,1833195.0,41.698109661,-87.712168565,"(41.69810966083746, -87.71216856513519)",Full,10716.0,10799.0,S,MILLARD
807,3196,3196,45725216250,DOT_SE,DOT_SE,05/25/2015,BlockParty,Block Party,05/26/2015,,1169197.0,1853038.0,41.752245230999996,-87.655538035,"(41.752245230690285, -87.65553803528262)",Full,7800.0,7899.0,S,THROOP
892,3507,3507,46040119592,DOT_SE,DOT_SE,08/29/2015,BlockParty,Block Party,08/30/2015,,1158164.0,1833567.0,41.69904726,-87.69649573,"(41.69904726039853, -87.69649573040292)",Full,3000.0,3099.0,W,107TH
904,3571,3571,45760316605,DOT_SE,DOT_SE,07/25/2015,BlockParty,Block Party,07/26/2015,,1142440.0,1862291.0,41.778173650999996,-87.75336415299999,"(41.77817365064876, -87.7533641533951)",Full,6300.0,6399.0,S,LATROBE
915,3600,3600,46200721337,DOT_SE,DOT_SE,09/26/2015,BlockParty,Block Party,09/27/2015,,1163029.0,1922965.0,41.944263466,-87.676180604,"(41.94426346636428, -87.67618060435639)",Full,1900.0,1999.0,W,NEWPORT
944,3721,3721,45841317454,DOT_SE,DOT_SE,08/08/2015,BlockParty,Block Party,08/09/2015,,1176937.0,1830053.0,41.689002525999996,-87.62786284200001,"(41.68900252579145, -87.62786284233933)",Full,200.0,299.0,W,113TH
963,3801,3801,45936018467,DOT_SE,DOT_SE,08/22/2015,BlockParty,Block Party,08/23/2015,,1153386.0,1909800.0,41.908334833000005,-87.71197329299999,"(41.90833483347344, -87.71197329260607)",Full,3400.0,3455.0,W,LE MOYNE
969,3822,3822,46247821868,DOT_SE,DOT_SE,10/03/2015,BlockParty,Block Party,10/05/2015,,1165948.0,1839001.0,41.713796253000005,-87.667841185,"(41.71379625287431, -87.66784118502426)",Full,9900.0,9999.0,S,WALDEN
1025,4062,4062,614478243940,DOT_PWO,DOT_PWO,12/14/2015,GenOpening,Opening in the Public Way,,,1167980.0,1830065.0,41.689230273,-87.660656616,"(41.68923027268686, -87.66065661619668)",Curblane,11235.0,11235.0,S,ASHLAND
1032,4092,4092,46186121177,DOT_SE,DOT_SE,09/05/2015,BlockParty,Block Party,09/06/2015,,1154314.0,1854589.0,41.756811144000004,-87.710037579,"(41.75681114412183, -87.71003757897911)",Full,3501.0,3553.0,W,75TH
1161,4508,4508,45947818595,DOT_SE,DOT_SE,08/15/2015,BlockParty,Block Party,08/16/2015,,1146056.0,1852445.0,41.751088966,-87.740353773,"(41.751088966051, -87.74035377329756)",Full,7758.0,7759.0,S,KEATING
1169,4543,4543,45751616519,DOT_SE,DOT_SE,09/05/2015,BlockParty,Block Party,09/06/2015,,1142191.0,1930160.0,41.964421815,-87.7525938,"(41.96442181506352, -87.7525938004518)",Full,5000.0,5029.0,W,WILSON
1174,4568,4568,45955618674,DOT_SE,DOT_SE,08/15/2015,BlockParty,Block Party,08/16/2015,,1154428.0,1885833.0,41.842547911,-87.708787469,"(41.842547911353996, -87.70878746881148)",Full,2700.0,2759.0,S,CHRISTIANA
1237,4844,4844,45727516273,DOT_SE,DOT_SE,07/04/2015,BlockParty,Block Party,07/05/2015,,1158254.0,1868680.0,41.79540054,-87.69521339799999,"(41.7954005401935, -87.69521339830781)",Full,5400.0,5499.0,S,MOZART
1241,4865,4865,45660515588,DOT_SE,DOT_SE,08/22/2015,BlockParty,Block Party,08/23/2015,,1168225.0,1844367.0,41.728472835,-87.659347196,"(41.72847283547404, -87.65934719573258)",Full,9100.0,9199.0,S,BISHOP
1270,5000,5000,45840917450,DOT_SE,DOT_SE,07/30/2015,BlockParty,Block Party,07/31/2015,,1172987.0,1829958.0,41.688829404,-87.64232803,"(41.68882940421052, -87.64232802954251)",Full,800.0,899.0,W,113TH
1275,5017,5017,61271269563,DOT_OCC,DOT_OCC,12/09/2015,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment",,,1138555.0,1940351.0,41.992451455,-87.76571243299999,"(41.99245145455739, -87.7657124329971)",Full,6140.0,6184.0,N,PRESCOTT
1298,5121,5121,46146720742,DOT_SE,DOT_SE,09/05/2015,BlockParty,Block Party,09/06/2015,,1139076.0,1911441.0,41.913110532,-87.76450262899998,"(41.91311053221746, -87.76450262920747)",Full,1800.0,1899.0,N,LUNA
