,issue_date,violation_code,geocoded_lng,geocoded_lat,street_num,street_dir,street_name,zipcode,upper_streetname,applicationfinalizeddate,applicationstartdate,latitude,longitude,streetclosure,streetnumberfrom,streetnumberto,worktype,worktypedescription
128211,2016-04-07 21:28:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
128212,2016-04-07 21:28:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
128233,2016-04-07 21:28:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129165,2016-05-13 08:35:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129166,2016-05-13 08:35:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129167,2016-05-13 08:35:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129187,2016-05-13 08:35:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-03-24 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129218,2016-05-13 08:38:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:34,2016-03-18 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129219,2016-05-13 08:38:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:35,2016-04-01 00:00:00,41.966656,-87.65844,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
129220,2016-05-13 08:38:00,PARKING/STANDING PROHIBITED ANYTIME,-87.65863,41.96736,4700,N,Broadway St,60640,BROADWAY,2018-07-24 09:35:36,2016-04-29 00:00:00,41.965427,-87.65765,Full,4600.0,4800.0,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment"
